property_id,source,title,district_canonical,locality,listing_intent,price,bedrooms,bathrooms,image_count,sample_image_1,sample_image_2,sample_image_3,listing_url,current_cnn_property_type,current_cnn_bedroom_class,current_style,current_environment,current_condition,suggested_bedrooms_from_text,suggested_cnn_bedroom_class,suggested_style,suggested_environment,suggested_condition,review_flags,review_priority,approved_for_training,review_status,reviewed_bedrooms,reviewed_cnn_bedroom_class,reviewed_style,reviewed_environment,reviewed_condition,reviewer_notes,reviewed_price,reviewed_listing_intent
propmarket-5NttMN-sRvwuo2K4rDYMW,propmarket,"3 Bedrooms, House",Berea,Naleli,sale,650000,3,1,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-5NttMN-sRvwuo2K4rDYMW\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-5NttMN-sRvwuo2K4rDYMW\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-5NttMN-sRvwuo2K4rDYMW\image_3.jpg,https://www.propmarket.co.ls/properties/5NttMN-sRvwuo2K4rDYMW,House,3,Traditional,Suburban,Good,3.0,3,,,,,low,yes,pending,,,,,,,,
propmarket-8GL2YSoWJfkJYfbOYKDl1,propmarket,"2 Bedrooms, House",Maseru,Ha Phaloane,sale,200000,2,1,4,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-8GL2YSoWJfkJYfbOYKDl1\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-8GL2YSoWJfkJYfbOYKDl1\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-8GL2YSoWJfkJYfbOYKDl1\image_3.jpg,https://www.propmarket.co.ls/properties/8GL2YSoWJfkJYfbOYKDl1,House,2,Traditional,Suburban,Good,2.0,2,,,,,low,yes,pending,,,,,,,,
propmarket-T7DEuA--o2VWCXfCg3FE2,propmarket,"1 Bedroom, House",Berea,Koalabata,sale,150000,1,1,4,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-T7DEuA--o2VWCXfCg3FE2\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-T7DEuA--o2VWCXfCg3FE2\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-T7DEuA--o2VWCXfCg3FE2\image_3.jpg,https://www.propmarket.co.ls/properties/T7DEuA--o2VWCXfCg3FE2,House,1,Traditional,Suburban,Good,1.0,1,,,,,low,yes,pending,,,,,,,,
propmarket-iTxYHd19YkRxk68-z4Gg1,propmarket,"5 Bedrooms, House",Maseru,Masowe Iii,sale,2500000,5,3,4,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-iTxYHd19YkRxk68-z4Gg1\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-iTxYHd19YkRxk68-z4Gg1\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-iTxYHd19YkRxk68-z4Gg1\image_3.jpg,https://www.propmarket.co.ls/properties/iTxYHd19YkRxk68-z4Gg1,House,5+,Traditional,Suburban,Good,5.0,5+,,,,,low,yes,pending,,,,,,,,
propmarket-bth9PHwYL2oRa7FORo96t,propmarket,"4 Bedrooms, House",Maseru,Lower Thetsane,sale,7500000,4,4,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-bth9PHwYL2oRa7FORo96t\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-bth9PHwYL2oRa7FORo96t\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-bth9PHwYL2oRa7FORo96t\image_3.jpg,https://www.propmarket.co.ls/properties/bth9PHwYL2oRa7FORo96t,House,4,Family,Urban,Good,4.0,4,Family,Urban,,,low,yes,pending,,,,,,,,
propmarket-N8hWF5lZHzYQi0zfdtLMd,propmarket,"4 Bedrooms, House",Quthing,Ha Makhalanyane,sale,300000,4,1,1,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-N8hWF5lZHzYQi0zfdtLMd\image_1.jpg,,,https://www.propmarket.co.ls/properties/N8hWF5lZHzYQi0zfdtLMd,House,4,Traditional,Urban,Good,4.0,4,,,,low_image_count,medium,yes,pending,,,,,,,,
propmarket-RAORp0t2ifmx-wUA_bz7j,propmarket,"4 Bedrooms, House",Maseru,Masowe 1b Secondary School,rent,10000,4,3,4,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-RAORp0t2ifmx-wUA_bz7j\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-RAORp0t2ifmx-wUA_bz7j\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-RAORp0t2ifmx-wUA_bz7j\image_3.jpg,https://www.propmarket.co.ls/properties/RAORp0t2ifmx-wUA_bz7j,House,4,Traditional,Urban,Good,4.0,4,,,,,low,yes,pending,,,,,,,,
propmarket-OjeCEvzbGRz8FYBJXcoRc,propmarket,"3 Bedrooms, House",Maseru,Lower Thetsane,sale,1150000,3,2,4,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-OjeCEvzbGRz8FYBJXcoRc\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-OjeCEvzbGRz8FYBJXcoRc\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-OjeCEvzbGRz8FYBJXcoRc\image_3.jpg,https://www.propmarket.co.ls/properties/OjeCEvzbGRz8FYBJXcoRc,House,3,Traditional,Suburban,Good,3.0,3,,Suburban,,,low,yes,pending,,,,,,,,
propmarket-WUMcplI44uaZO1iSoAQ4S,propmarket,"1 Bedroom, House",Maseru,Ha Leqele,sale,380000,1,1,3,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-WUMcplI44uaZO1iSoAQ4S\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-WUMcplI44uaZO1iSoAQ4S\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-WUMcplI44uaZO1iSoAQ4S\image_3.png,https://www.propmarket.co.ls/properties/WUMcplI44uaZO1iSoAQ4S,House,1,Traditional,Suburban,Good,1.0,1,,,,,low,yes,pending,,,,,,,,
propmarket-TGGtwzXu1PaT221Z8WCKM,propmarket,"4 Bedrooms, House",Maseru,Semphetenyane,sale,1500000,4,3,4,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-TGGtwzXu1PaT221Z8WCKM\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-TGGtwzXu1PaT221Z8WCKM\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-TGGtwzXu1PaT221Z8WCKM\image_3.jpg,https://www.propmarket.co.ls/properties/TGGtwzXu1PaT221Z8WCKM,House,4,Traditional,Suburban,Good,4.0,4,,,,,low,yes,pending,,,,,,,,
propmarket-op0asF1YrwW5Iphyt5FK6,propmarket,"3 Bedrooms, House",Maseru,Lower Thamae,sale,844000,3,1,3,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-op0asF1YrwW5Iphyt5FK6\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-op0asF1YrwW5Iphyt5FK6\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-op0asF1YrwW5Iphyt5FK6\image_3.jpg,https://www.propmarket.co.ls/properties/op0asF1YrwW5Iphyt5FK6,House,3,Traditional,Suburban,Good,3.0,3,,,,,low,yes,pending,,,,,,,,
propmarket-1gpWZhyNaDKwyXXVRS0MZ,propmarket,"3 Bedrooms, House",Maseru,Motse Mocha Ts'enola,sale,1000000,3,1,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-1gpWZhyNaDKwyXXVRS0MZ\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-1gpWZhyNaDKwyXXVRS0MZ\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-1gpWZhyNaDKwyXXVRS0MZ\image_3.jpg,https://www.propmarket.co.ls/properties/1gpWZhyNaDKwyXXVRS0MZ,House,3,Traditional,Suburban,Good,3.0,3,,,,,low,yes,pending,,,,,,,,
propmarket-Gxks2QBu3POkSKy6LSrVn,propmarket,"2 Bedrooms, House",Maseru,Mazenod,sale,790000,2,1,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-Gxks2QBu3POkSKy6LSrVn\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-Gxks2QBu3POkSKy6LSrVn\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-Gxks2QBu3POkSKy6LSrVn\image_3.jpg,https://www.propmarket.co.ls/properties/Gxks2QBu3POkSKy6LSrVn,House,2,Traditional,Suburban,Good,2.0,2,,,,,low,yes,pending,,,,,,,,
propmarket-862McOr-9ckYlIzwbWrUX,propmarket,"6 Units, Malaene",Maseru,Semphetenyane,sale,250000,2,1,1,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-862McOr-9ckYlIzwbWrUX\image_1.jpg,,,https://www.propmarket.co.ls/properties/862McOr-9ckYlIzwbWrUX,House,2,Traditional,Suburban,Good,,,,,,possible_multi_unit|low_image_count,high,no,exclude,,,,,,"Auto-excluded in first-pass review because the row looks multi-unit, development stock, or mixed commercial inventory. Auto-excluded in first-pass review because the row looks multi-unit, development stock, or mixed commercial inventory.",,
propmarket-5zvnXL81fkjHImUjJGCx8,propmarket,"13 Units, Cottages",Maseru,Ha Tsolo,sale,700000,2,1,2,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-5zvnXL81fkjHImUjJGCx8\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-5zvnXL81fkjHImUjJGCx8\image_2.jpg,,https://www.propmarket.co.ls/properties/5zvnXL81fkjHImUjJGCx8,House,2,Traditional,Suburban,Good,,,,,,possible_multi_unit|low_image_count,high,no,exclude,,,,,,"Auto-excluded in first-pass review because the row looks multi-unit, development stock, or mixed commercial inventory. Auto-excluded in first-pass review because the row looks multi-unit, development stock, or mixed commercial inventory.",,
propmarket-bH8pKVrhThHrUZ_5URuQ-,propmarket,"3 Bedrooms, House",Maseru,Sekoting Ts'enola,sale,400000,3,1,4,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-bH8pKVrhThHrUZ_5URuQ-\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-bH8pKVrhThHrUZ_5URuQ-\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-bH8pKVrhThHrUZ_5URuQ-\image_3.jpg,https://www.propmarket.co.ls/properties/bH8pKVrhThHrUZ_5URuQ-,House,3,Traditional,Suburban,Good,3.0,3,,,,,low,yes,pending,,,,,,,,
propmarket-G4ZhE5jlCc4y-iw0Kl3d5,propmarket,House,Maseru,Ha Ts'osane,sale,160000,2,1,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-G4ZhE5jlCc4y-iw0Kl3d5\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-G4ZhE5jlCc4y-iw0Kl3d5\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-G4ZhE5jlCc4y-iw0Kl3d5\image_3.jpg,https://www.propmarket.co.ls/properties/G4ZhE5jlCc4y-iw0Kl3d5,House,2,Traditional,Suburban,Good,,,,,,,low,yes,pending,,,,,,,,
propmarket-tm9zmb1Cj-5VmgarS2eJA,propmarket,"3 Bedrooms, House",Maseru,Masowe Iii,rent,12000,3,1,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-tm9zmb1Cj-5VmgarS2eJA\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-tm9zmb1Cj-5VmgarS2eJA\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-tm9zmb1Cj-5VmgarS2eJA\image_3.jpg,https://www.propmarket.co.ls/properties/tm9zmb1Cj-5VmgarS2eJA,House,3,Modern,Urban,New,3.0,3,Modern,,,,low,yes,pending,,,,,,,,
propmarket-s_hj4oYl975CEdifUzZCH,propmarket,House,Maseru,Mathokoane,sale,1700000,2,1,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-s_hj4oYl975CEdifUzZCH\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-s_hj4oYl975CEdifUzZCH\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-s_hj4oYl975CEdifUzZCH\image_3.jpg,https://www.propmarket.co.ls/properties/s_hj4oYl975CEdifUzZCH,House,2,Traditional,Suburban,Good,,,,,,,low,yes,pending,,,,,,,,
propmarket-Bc9FR1yIShoqxKfCinFFv,propmarket,"3 Bedrooms, House",Maseru,Semphetenyane,sale,1300000,3,1,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-Bc9FR1yIShoqxKfCinFFv\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-Bc9FR1yIShoqxKfCinFFv\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-Bc9FR1yIShoqxKfCinFFv\image_3.jpg,https://www.propmarket.co.ls/properties/Bc9FR1yIShoqxKfCinFFv,House,3,Traditional,Hillside,New,3.0,3,Modern,,New,style_mismatch:Traditional->Modern,medium,yes,pending,,,,,,,,
propmarket-81l4_NDWdSkfdHzXFJwUq,propmarket,"2 Bedrooms, House",Berea,Lekokoaneng,sale,110000,2,1,1,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-81l4_NDWdSkfdHzXFJwUq\image_1.jpg,,,https://www.propmarket.co.ls/properties/81l4_NDWdSkfdHzXFJwUq,House,2,Traditional,Urban,Good,2.0,2,,Urban,,price_low_for_sale|low_image_count,high,yes,reviewed,,,,,,nan Checked manually: keep. Low sale price is plausible because the listing text mentions no water and electricity.,,
propmarket-hw6n6Mf06YMilWhDjAv98,propmarket,"3 Bedrooms, House",Maseru,Masowe 1b Secondary School,sale,1500000,3,1,4,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-hw6n6Mf06YMilWhDjAv98\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-hw6n6Mf06YMilWhDjAv98\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-hw6n6Mf06YMilWhDjAv98\image_3.jpg,https://www.propmarket.co.ls/properties/hw6n6Mf06YMilWhDjAv98,House,3,Family,Urban,New,3.0,3,Modern,,New,style_mismatch:Family->Modern,medium,yes,pending,,,,,,,,
propmarket-SiDHc0YvePC_fzWHiFisO,propmarket,"3 Bedrooms, House",Maseru,Mazenod,sale,814000,3,1,4,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-SiDHc0YvePC_fzWHiFisO\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-SiDHc0YvePC_fzWHiFisO\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-SiDHc0YvePC_fzWHiFisO\image_3.jpg,https://www.propmarket.co.ls/properties/SiDHc0YvePC_fzWHiFisO,House,3,Traditional,Suburban,Good,3.0,3,,,,,low,yes,pending,,,,,,,,
propmarket-a8l8pgWNjuxoe13ONlO9J,propmarket,"1 Bedroom, House",Maseru,Ha Abia,sale,280000,1,1,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-a8l8pgWNjuxoe13ONlO9J\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-a8l8pgWNjuxoe13ONlO9J\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-a8l8pgWNjuxoe13ONlO9J\image_3.jpg,https://www.propmarket.co.ls/properties/a8l8pgWNjuxoe13ONlO9J,House,1,Traditional,Suburban,Good,1.0,1,,,,,low,yes,pending,,,,,,,,
propmarket-8rZgyZbU6bmT9rIxBpxPt,propmarket,"2 Bedrooms, House",Maseru,Mohalalitoe,sale,650000,2,1,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-8rZgyZbU6bmT9rIxBpxPt\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-8rZgyZbU6bmT9rIxBpxPt\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-8rZgyZbU6bmT9rIxBpxPt\image_3.jpg,https://www.propmarket.co.ls/properties/8rZgyZbU6bmT9rIxBpxPt,House,2,Traditional,Suburban,Good,2.0,2,,,,,low,yes,pending,,,,,,,,
propmarket-Z4z-og29aKZ4wE7APAStn,propmarket,"2 Bedrooms, House",Berea,Sekamaneng,sale,270000,2,1,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-Z4z-og29aKZ4wE7APAStn\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-Z4z-og29aKZ4wE7APAStn\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-Z4z-og29aKZ4wE7APAStn\image_3.jpg,https://www.propmarket.co.ls/properties/Z4z-og29aKZ4wE7APAStn,House,2,Traditional,Suburban,Good,2.0,2,,,,,low,yes,pending,,,,,,,,
propmarket-cRZnCvUgMgClhFBk9JbKi,propmarket,House,Quthing,Quthing District,sale,650000,2,1,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-cRZnCvUgMgClhFBk9JbKi\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-cRZnCvUgMgClhFBk9JbKi\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-cRZnCvUgMgClhFBk9JbKi\image_3.jpg,https://www.propmarket.co.ls/properties/cRZnCvUgMgClhFBk9JbKi,House,2,Traditional,Suburban,Good,,,,,,,low,yes,pending,,,,,,,,
propmarket-KhjqZ43BkP-Yiv-WUXeeH,propmarket,"2 Bedrooms, House",Maseru,Thaba Bosiu,sale,350000,2,0,4,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-KhjqZ43BkP-Yiv-WUXeeH\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-KhjqZ43BkP-Yiv-WUXeeH\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-KhjqZ43BkP-Yiv-WUXeeH\image_3.jpg,https://www.propmarket.co.ls/properties/KhjqZ43BkP-Yiv-WUXeeH,House,2,Traditional,Suburban,Good,2.0,2,,,,,low,yes,pending,,,,,,,,
propmarket-zGSKI5MMls1YUGneoRJ_Y,propmarket,"3 Bedrooms, House",Mohale's Hoek,Mesitsaneng,sale,350000,3,1,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-zGSKI5MMls1YUGneoRJ_Y\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-zGSKI5MMls1YUGneoRJ_Y\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-zGSKI5MMls1YUGneoRJ_Y\image_3.jpg,https://www.propmarket.co.ls/properties/zGSKI5MMls1YUGneoRJ_Y,House,3,Traditional,Urban,Good,3.0,3,,Urban,,,low,yes,pending,,,,,,,,
propmarket-lhabbYFlMj9gF2mViiWtw,propmarket,"2 Units, 3 Bedrooms, House",Berea,Ha Mabote,sale,3200000,3,3,4,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-lhabbYFlMj9gF2mViiWtw\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-lhabbYFlMj9gF2mViiWtw\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-lhabbYFlMj9gF2mViiWtw\image_3.jpg,https://www.propmarket.co.ls/properties/lhabbYFlMj9gF2mViiWtw,House,3,Family,Garden,Good,3.0,3,Family,Garden,,possible_multi_unit,high,no,exclude,,,,,,"Auto-excluded in first-pass review because the row looks multi-unit, development stock, or mixed commercial inventory. Auto-excluded in first-pass review because the row looks multi-unit, development stock, or mixed commercial inventory.",,
propmarket-ULpaoTct4UkIKVByFe5-m,propmarket,"3 Bedrooms, House",Maseru,Masowe Street,sale,2500000,3,3,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-ULpaoTct4UkIKVByFe5-m\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-ULpaoTct4UkIKVByFe5-m\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-ULpaoTct4UkIKVByFe5-m\image_3.jpg,https://www.propmarket.co.ls/properties/ULpaoTct4UkIKVByFe5-m,House,3,Traditional,Suburban,Good,3.0,3,,,,,low,yes,pending,,,,,,,,
propmarket-ezFcsmhLYIMyJm9JcqdbJ,propmarket,"6 Units, 1 Bedroom, Malaene",Berea,Berea District,sale,190000,1,1,4,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-ezFcsmhLYIMyJm9JcqdbJ\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-ezFcsmhLYIMyJm9JcqdbJ\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-ezFcsmhLYIMyJm9JcqdbJ\image_3.jpg,https://www.propmarket.co.ls/properties/ezFcsmhLYIMyJm9JcqdbJ,House,1,Traditional,Suburban,Renovation Needed,1.0,1,,,Renovation Needed,possible_multi_unit,high,no,exclude,,,,,,"Auto-excluded in first-pass review because the row looks multi-unit, development stock, or mixed commercial inventory. Auto-excluded in first-pass review because the row looks multi-unit, development stock, or mixed commercial inventory.",,
propmarket-jLsW5pAWor5DGdiQLz3Ks,propmarket,"1 Unit, House",Maseru,Maseru District,sale,150000,2,1,4,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-jLsW5pAWor5DGdiQLz3Ks\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-jLsW5pAWor5DGdiQLz3Ks\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-jLsW5pAWor5DGdiQLz3Ks\image_3.jpg,https://www.propmarket.co.ls/properties/jLsW5pAWor5DGdiQLz3Ks,House,2,Traditional,Suburban,Good,,,,,,,low,yes,pending,,,,,,,,
propmarket-lOGKyLOJwiTcvUEBxfOd2,propmarket,House,Maseru,Masowe 1b Secondary School,sale,1300000,2,1,4,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-lOGKyLOJwiTcvUEBxfOd2\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-lOGKyLOJwiTcvUEBxfOd2\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-lOGKyLOJwiTcvUEBxfOd2\image_3.jpg,https://www.propmarket.co.ls/properties/lOGKyLOJwiTcvUEBxfOd2,House,2,Traditional,Urban,Good,,,,,,,low,yes,pending,,,,,,,,
propmarket-hnALgHUVxkGWG9QqHXv2y,propmarket,"2 Bedrooms, House",Maseru,Ha Matala,sale,1000000,2,1,4,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-hnALgHUVxkGWG9QqHXv2y\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-hnALgHUVxkGWG9QqHXv2y\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-hnALgHUVxkGWG9QqHXv2y\image_3.jpg,https://www.propmarket.co.ls/properties/hnALgHUVxkGWG9QqHXv2y,House,2,Traditional,Suburban,Good,2.0,2,,,,,low,yes,pending,,,,,,,,
propmarket-QVq2pNyEur75hseYq9XEs,propmarket,"2 Units, 2 Bedrooms, House",Maseru,Ha Matala,sale,370000,2,1,3,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-QVq2pNyEur75hseYq9XEs\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-QVq2pNyEur75hseYq9XEs\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-QVq2pNyEur75hseYq9XEs\image_3.jpg,https://www.propmarket.co.ls/properties/QVq2pNyEur75hseYq9XEs,House,2,Traditional,Hillside,Good,2.0,2,,Urban,,environment_mismatch:Hillside->Urban|possible_multi_unit,high,no,exclude,,,,,,"Auto-excluded in first-pass review because the row looks multi-unit, development stock, or mixed commercial inventory. Auto-excluded in first-pass review because the row looks multi-unit, development stock, or mixed commercial inventory.",,
propmarket-tPWv32Y-qCsM46i7tAUHy,propmarket,"1 Unit, 4 Bedrooms, House",Maseru,Thetsane,rent,14000,4,2,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-tPWv32Y-qCsM46i7tAUHy\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-tPWv32Y-qCsM46i7tAUHy\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-tPWv32Y-qCsM46i7tAUHy\image_3.jpg,https://www.propmarket.co.ls/properties/tPWv32Y-qCsM46i7tAUHy,House,4,Traditional,Suburban,Good,4.0,4,,Suburban,,,low,yes,pending,,,,,,,,
